1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.565469	-0.565472	0.000000	0.000000	1308.454027	0.001811	0.000000	0.001811	77.9	84.9	1152.3
1	-0.582650	-0.582652	0.000000	0.000000	1308.454027	0.001662	0.000000	0.001662	67.2	127.2	195.6
2	-0.576440	-0.576443	0.000000	0.000000	1308.454027	0.001830	0.000000	0.001830	53.9	99.3	154.4
3	-0.585341	-0.585343	0.000000	0.000000	1308.454027	0.002003	0.000000	0.002003	50.2	135.1	186.5
4	-0.577471	-0.577474	0.000000	0.000000	1308.454027	0.001618	0.000000	0.001618	30.5	117.6	149.3
5	-0.577288	-0.577291	0.000000	0.000000	1308.454027	0.001837	0.000000	0.001837	38.7	76.0	115.9
6	-0.577097	-0.577099	0.000000	0.000000	1308.454027	0.002293	0.000000	0.002293	88.9	91.0	181.1
7	-0.594216	-0.594218	0.000000	0.448599	1281.087593	0.001655	0.000000	0.001655	101.3	93.2	195.8
8	-0.593778	-0.593780	0.000000	0.228119	1294.393270	0.001618	0.000000	0.001618	56.0	124.7	181.9
9	-0.595236	-0.595238	0.000000	0.351256	1286.928256	0.001748	0.000000	0.001748	52.4	74.6	128.2
10	-0.584421	-0.584423	0.000000	1.351256	1229.350809	0.001398	0.000000	0.001398	40.5	113.5	155.3
11	-0.581262	-0.581264	0.000000	1.140444	1241.056145	0.001710	0.000000	0.001710	51.2	91.9	144.6
12	-0.595905	-0.595908	0.000000	0.919964	1253.539211	0.001202	0.000000	0.001202	72.9	90.7	164.9
13	-0.579427	-0.579430	0.000000	1.919964	1198.847191	0.001861	0.000000	0.001861	47.4	100.2	148.7
14	-0.593263	-0.593265	0.000000	1.699591	1210.485901	0.002100	0.000000	0.002100	57.8	87.8	146.8
15	-0.589422	-0.589424	0.000000	2.699591	1159.409665	0.002005	0.000000	0.002005	61.5	127.8	190.4
16	-0.582158	-0.582161	0.000000	3.699591	1112.469224	0.001538	0.000000	0.001538	36.7	92.1	130.3
17	-0.587334	-0.587337	0.000000	4.699591	1069.181795	0.001360	0.000000	0.001360	56.6	104.8	162.7
18	-0.590823	-0.590825	0.000000	5.316899	1044.102280	0.001809	0.000000	0.001809	44.0	106.9	152.2
19	-0.589990	-0.589993	0.000001	5.096545	1052.918482	0.002201	0.000000	0.002201	50.4	122.0	174.1
20	-0.595975	-0.595977	0.000001	6.096545	1014.060448	0.001581	0.000000	0.001581	48.1	140.7	190.0
21	-0.594723	-0.594726	0.000001	5.876464	1022.364185	0.002006	0.000000	0.002006	30.6	79.4	111.1
22	-0.602924	-0.602926	0.000001	6.876464	985.689369	0.001572	0.000000	0.001572	48.2	100.8	150.3
23	-0.594324	-0.594327	0.000001	7.875594	951.583350	0.001100	0.000000	0.001100	55.8	122.6	179.5
24	-0.598784	-0.598787	0.000001	7.655114	958.905090	0.001676	0.000000	0.001676	37.7	112.5	151.6
25	-0.579943	-0.579946	0.000001	7.874137	951.631356	0.001840	0.000000	0.001840	45.4	132.2	178.8
26	-0.578788	-0.578791	0.000001	8.873948	919.782500	0.002140	0.000000	0.002140	37.7	95.2	134.1
27	-0.586876	-0.586879	0.000001	9.873948	889.990959	0.001782	0.000000	0.001782	43.9	90.4	135.5
28	-0.584955	-0.584957	0.000001	9.895886	889.359013	0.001917	0.000000	0.001917	50.7	123.1	175.1
29	-0.583960	-0.583963	0.000001	10.895886	861.475824	0.001342	0.000000	0.001342	88.0	92.7	181.9
30	-0.588823	-0.588826	0.000001	10.696246	866.901848	0.001839	0.000000	0.001839	54.9	112.0	168.3
31	-0.600831	-0.600834	0.000001	11.696246	840.388045	0.001263	0.000000	0.001263	54.3	168.2	223.9
32	-0.594773	-0.594775	0.000001	11.475766	846.093498	0.001716	0.000000	0.001716	33.4	127.3	162.3
33	-0.607191	-0.607194	0.000001	12.076987	830.714544	0.001620	0.000000	0.001620	47.0	131.7	179.8
34	-0.587341	-0.587344	0.000001	13.076974	806.337272	0.001655	0.000000	0.001655	74.5	104.1	179.8
35	-0.589127	-0.589130	0.000001	12.856494	811.588301	0.001263	0.000000	0.001263	87.1	85.7	174.1
36	-0.597054	-0.597058	0.000001	12.657194	816.394087	0.001338	0.000000	0.001338	97.5	129.7	228.7
37	-0.598445	-0.598448	0.000001	13.657191	792.837908	0.001602	0.000000	0.001602	56.6	105.9	163.6
38	-0.592496	-0.592499	0.000001	13.438470	797.873270	0.002073	0.000000	0.002073	45.3	112.1	159.6
39	-0.590512	-0.590515	0.000001	13.217990	803.014288	0.001409	0.000000	0.001409	66.0	140.7	207.9
40	-0.594436	-0.594439	0.000001	14.217990	780.213035	0.001251	0.000000	0.001251	64.2	167.2	232.6
41	-0.594874	-0.594877	0.000001	13.997509	785.128287	0.002022	0.000000	0.002022	51.6	138.5	191.5
42	-0.590910	-0.590913	0.000001	14.880479	765.807358	0.001550	0.000000	0.001550	49.3	133.1	184.2
43	-0.589152	-0.589155	0.000001	15.880479	745.042786	0.001325	0.000000	0.001325	54.8	115.6	171.5
44	-0.584359	-0.584362	0.000001	16.880478	725.374537	0.001729	0.000000	0.001729	80.1	140.6	221.8
45	-0.599046	-0.599050	0.000001	16.702770	728.793521	0.002984	0.000000	0.002984	77.4	94.8	173.6
46	-0.593949	-0.593952	0.000001	17.702770	709.962995	0.002552	0.000000	0.002552	65.2	150.8	217.3
47	-0.601223	-0.601226	0.000001	18.702770	692.081044	0.001621	0.000000	0.001621	86.4	195.4	283.1
48	-0.596603	-0.596606	0.000001	19.702770	675.077753	0.002059	0.000000	0.002059	56.3	109.2	166.8
49	-0.592730	-0.592733	0.000001	20.702770	658.889914	0.001476	0.000000	0.001476	56.3	122.1	179.7
50	-0.605553	-0.605556	0.000001	21.702770	643.460237	0.002323	0.000000	0.002323	43.5	129.3	174.0
51	-0.599572	-0.599576	0.000001	22.702769	628.736695	0.002880	0.000000	0.002880	87.6	110.6	199.5
52	-0.598568	-0.598571	0.000001	23.702769	614.671868	0.002283	0.000000	0.002283	81.3	125.8	208.3
53	-0.601360	-0.601364	0.000001	24.702769	601.222533	0.001746	0.000000	0.001746	27.9	129.6	158.8
54	-0.596657	-0.596661	0.000001	24.482289	604.137022	0.001637	0.000000	0.001636	45.7	144.5	191.7
55	-0.610233	-0.610236	0.000001	25.482289	591.139878	0.001427	0.000000	0.001427	37.2	124.7	164.3
56	-0.605806	-0.605809	0.000001	25.608835	589.534897	0.001062	0.000000	0.001062	51.5	112.2	165.0
57	-0.600361	-0.600365	0.000001	26.570254	577.620089	0.002073	0.000000	0.002073	39.1	137.9	178.3
58	-0.598704	-0.598707	0.000001	26.349774	580.309728	0.001672	0.000000	0.001672	83.5	104.6	189.4
59	-0.597625	-0.597629	0.000001	27.349750	568.307681	0.001385	0.000000	0.001385	47.5	104.2	154.9
