1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.318962	0.000000	12.186322	0.015006	139.4
1	-0.316224	0.000000	12.186322	0.030304	11.1
2	-0.313465	1.000000	11.632398	0.023184	13.6
3	-0.320696	0.371017	11.974758	0.019612	13.5
4	-0.317516	1.371014	11.439479	0.018177	17.1
5	-0.323399	0.742406	11.770213	0.011819	10.5
6	-0.321859	0.140630	12.105257	0.015233	10.7
7	-0.319000	0.000000	12.186322	0.022850	12.1
8	-0.323585	0.000000	12.186322	0.011779	9.2
9	-0.331780	0.999969	11.632414	0.019516	8.7
10	-0.337218	0.401622	11.957633	0.019299	11.1
11	-0.333549	0.000000	12.186322	0.018029	12.3
12	-0.325394	0.999989	11.632404	0.011051	10.8
13	-0.320729	1.996885	11.128149	0.016757	6.4
14	-0.336082	2.992185	10.666505	0.011762	7.9
15	-0.324056	3.337332	10.515234	0.021948	8.3
16	-0.332753	4.337332	10.100225	0.020293	10.0
17	-0.334462	5.337332	9.716730	0.020651	13.1
18	-0.333019	6.337332	9.361292	0.018153	13.1
19	-0.326738	7.337332	9.030940	0.018325	15.1
20	-0.326882	6.709712	9.235489	0.016956	6.8
21	-0.326002	7.709706	8.913806	0.017334	6.9
22	-0.324468	7.080779	9.113449	0.018513	8.1
23	-0.331697	6.452110	9.322152	0.015813	9.2
24	-0.330983	7.452110	8.994509	0.020500	10.7
25	-0.330015	6.833544	9.194401	0.023299	15.2
26	-0.323594	7.833544	8.875522	0.015365	12.3
27	-0.323849	7.212751	9.070819	0.018985	14.2
28	-0.336612	8.212463	8.760396	0.010400	13.7
29	-0.333805	7.594747	8.949642	0.013267	11.0
30	-0.329913	8.485111	8.679389	0.012716	12.2
31	-0.328436	7.856648	8.868416	0.025008	15.2
32	-0.328584	8.856373	8.571462	0.016820	15.3
33	-0.333958	8.808604	8.585197	0.022257	11.8
34	-0.334117	8.179654	8.770246	0.021199	8.7
35	-0.326354	9.179654	8.479645	0.017815	11.7
36	-0.333801	10.179654	8.207684	0.020925	15.9
37	-0.329869	11.179654	7.952626	0.022531	14.9
38	-0.336566	12.179654	7.712942	0.017366	16.0
39	-0.327225	13.179654	7.487283	0.022764	13.9
40	-0.332970	14.178998	7.274589	0.021562	12.9
41	-0.330756	15.178998	7.073517	0.013558	11.9
42	-0.325297	16.178998	6.883261	0.020433	16.7
43	-0.329754	15.551222	7.001483	0.018875	10.8
44	-0.338953	16.551222	6.815031	0.012865	11.7
45	-0.331689	17.079180	6.720543	0.016090	13.6
46	-0.331427	17.322456	6.677880	0.012044	9.5
47	-0.341025	18.322456	6.508056	0.013712	7.9
48	-0.330419	18.036841	6.555673	0.016174	8.4
49	-0.326318	19.036837	6.391932	0.015884	13.4
50	-0.330924	20.036425	6.236234	0.014374	15.6
51	-0.326669	21.036312	6.087897	0.023847	12.3
52	-0.330138	22.036312	5.946438	0.014952	12.5
53	-0.329398	23.036312	5.811403	0.022637	15.1
54	-0.336781	22.407330	5.895612	0.018324	13.7
55	-0.336408	23.407330	5.762849	0.015065	17.5
56	-0.326364	24.407330	5.635935	0.018116	11.4
57	-0.336036	25.407330	5.514490	0.018297	12.9
58	-0.320850	26.407330	5.398169	0.017376	8.5
59	-0.331294	27.407330	5.286653	0.021968	12.7
60	-0.332252	28.407027	5.179683	0.018125	16.6
61	-0.333346	29.407027	5.076926	0.010351	10.6
62	-0.327452	30.404582	4.978404	0.015379	10.7
63	-0.332055	29.777282	5.039907	0.018105	9.4
64	-0.330216	30.439582	4.975016	0.017006	8.1
65	-0.338544	31.439582	4.880145	0.020852	9.3
66	-0.325463	32.439582	4.788824	0.021636	8.2
67	-0.334768	33.439582	4.700858	0.015510	13.0
68	-0.332557	34.439582	4.616066	0.010948	11.6
69	-0.334371	35.439581	4.534278	0.019867	14.0
70	-0.330689	36.437109	4.455530	0.025448	15.1
71	-0.333021	37.437109	4.379285	0.020727	13.5
72	-0.334555	38.437109	4.305606	0.011739	12.2
